Timestamp,CPU_Usage,CPU_Memory_Usage,GPU_Usage,GPU_Memory_Usage
2025-03-24 09:43:25,3.0,77.9,N/A,N/A
2025-03-24 09:43:28,15.6,77.3,N/A,N/A
2025-03-24 09:43:31,4.6,77.2,N/A,N/A
2025-03-24 15:39:06,5.2,77.1,N/A,N/A
2025-03-24 15:39:09,11.3,77.0,N/A,N/A
2025-03-24 15:39:12,16.7,77.2,N/A,N/A
2025-03-24 15:39:15,10.5,76.3,N/A,N/A
2025-03-24 15:39:18,5.6,75.7,N/A,N/A
2025-03-24 15:39:21,10.8,75.8,N/A,N/A
2025-03-24 15:39:24,15.1,76.2,N/A,N/A
2025-03-24 15:39:27,2.6,76.2,N/A,N/A
2025-03-24 15:39:30,7.4,76.1,N/A,N/A
2025-03-24 15:39:33,7.2,76.1,N/A,N/A
2025-03-24 15:39:36,6.3,76.0,N/A,N/A
2025-03-24 15:39:39,3.3,76.0,N/A,N/A
2025-03-24 15:39:42,6.9,76.1,N/A,N/A
2025-03-24 15:39:45,1.7,76.0,N/A,N/A
2025-03-24 15:39:48,5.4,76.1,N/A,N/A
2025-03-24 15:39:51,6.6,76.0,N/A,N/A
2025-03-24 15:39:54,4.4,76.0,N/A,N/A
2025-03-24 15:39:57,15.9,76.2,N/A,N/A
2025-03-24 15:40:00,17.6,76.4,N/A,N/A
2025-03-24 15:40:03,27.2,76.4,N/A,N/A
2025-03-24 15:40:06,18.1,76.5,N/A,N/A
2025-03-24 15:40:09,17.7,76.4,N/A,N/A
2025-03-24 15:40:12,12.6,76.4,N/A,N/A
2025-03-24 15:40:15,20.2,76.3,N/A,N/A
2025-03-24 15:40:18,6.2,75.9,N/A,N/A
2025-03-24 15:40:21,16.2,76.1,N/A,N/A
2025-03-24 15:40:24,0.5,76.1,N/A,N/A
2025-03-24 15:40:27,11.1,75.2,N/A,N/A
2025-03-24 15:40:30,22.0,75.3,N/A,N/A
2025-03-24 15:40:33,11.2,75.4,N/A,N/A
2025-03-24 15:46:22,21.7,75.6,N/A,N/A
2025-03-24 15:46:25,12.9,75.6,N/A,N/A
2025-03-24 15:46:28,4.8,75.6,N/A,N/A
2025-03-24 15:46:31,16.2,75.5,N/A,N/A
2025-03-24 15:46:34,5.6,75.4,N/A,N/A
2025-03-24 15:46:37,2.9,75.5,N/A,N/A
2025-03-24 15:46:40,8.3,75.5,N/A,N/A
2025-03-24 15:46:43,8.8,75.5,N/A,N/A
2025-03-24 15:46:46,5.2,75.5,N/A,N/A
2025-03-24 15:46:49,16.0,75.5,N/A,N/A
